key_id,sector,Operating_Margin,Date_Time,url,ROA,industry,target_est,EPS,state,beta,Total_Debt,Total_Cash,Earnings_Date,Current_Price,Free_Cash_Flow,ticker,Gross_Profits
1,Industrials,-0.42663,2019-01-18 13:36:05.761744,http://finance.yahoo.com/quote/SCOR?p=SCOR,-0.10943,Business Services,25.75,-3.575,VA,-0.210521,193950000.0,47876000.0,2019-03-21 to 2019-03-25,17.0,64473500.0,SCOR,209944000.0
2,Technology,0.26694,2019-01-18 13:37:07.793225,http://finance.yahoo.com/quote/AAPL?p=AAPL,0.11959,Consumer Electronics,181.57,11.91,CA,1.114892,114483003392.0,66301001728.0,2019-01-29,155.86,48419250176.0,AAPL,101839000000.0
3,Technology,0.23758,2019-01-18 13:38:27.948196,http://finance.yahoo.com/quote/GOOG?p=GOOG,0.09382,Internet Content & Information,1328.0,26.647,CA,1.157894,3985999872.0,106415996928.0,,1089.9,20826499072.0,GOOG,65272000000.0
4,Consumer Defensive,0.22167,2019-01-18 13:49:05.910882,http://finance.yahoo.com/quote/PG?p=PG,0.07679,Household & Personal Products,92.98,3.828,OH,0.088905,31286999040.0,11253000192.0,2019-01-23,90.64,10482374656.0,PG,33383000000.0
5,Technology,0.12677,2019-01-18 13:41:02.405019,http://finance.yahoo.com/quote/TWTR?p=TWTR,0.026989998,Internet Content & Information,34.65,1.356,CA,-0.099596,2707830016.0,5956542976.0,2019-02-07,32.85,629179776.0,TWTR,1582457000.0
6,Consumer Cyclical,0.04871,2019-01-18 13:39:31.102955,http://finance.yahoo.com/quote/AMZN?p=AMZN,0.05195,Specialty Retail,2128.16,17.848,WA,1.827464,47218999296.0,29764999168.0,2019-01-30 to 2019-02-04,1693.22,13958250496.0,AMZN,65932000000.0
7,Industrials,0.108,2019-01-18 13:42:06.813320,http://finance.yahoo.com/quote/BA?p=BA,0.06363,Aerospace & Defense,416.76,17.035,IL,1.399166,11875999744.0,9989999616.0,2019-01-30,359.09,7931500032.0,BA,17326000000.0
8,Industrials,0.18268,2019-01-18 13:35:57.589107,http://finance.yahoo.com/quote/NLSN?p=NLSN,0.045489997,Business Services,28.21,0.9,NY,0.881016,8611000320.0,451000000.0,2019-02-06 to 2019-02-11,25.27,628625024.0,NLSN,3807000000.0
9,Consumer Cyclical,0.13520999,2019-01-18 13:40:40.358964,http://finance.yahoo.com/quote/OMC?p=OMC,0.05816,Advertising Agencies,75.5,5.156,NY,0.229076,4951799808.0,2105799936.0,2019-02-13 to 2019-02-18,74.35,1618300032.0,OMC,2791800000.0
10,Technology,0.32466,2019-01-18 13:38:11.874917,http://finance.yahoo.com/quote/MSFT?p=MSFT,0.09203,Software - Infrastructure,125.39,2.428,WA,1.105024,87927996416.0,135770996736.0,2019-01-30,106.12,29277249536.0,MSFT,72007000000.0
11,Consumer Cyclical,-0.07101,2019-01-18 13:45:04.224286,http://finance.yahoo.com/quote/tsla?p=tsla,-0.02711,Auto Manufacturers,336.31,-10.56,CA,0.61659,13564185600.0,2967503872.0,2019-02-05 to 2019-02-11,347.31,-1221390080.0,tsla,2222487000.0
12,Technology,0.35736,2019-01-18 13:40:17.277515,http://finance.yahoo.com/quote/ORCL?p=ORCL,0.06932,Software - Infrastructure,52.53,1.002,CA,0.952237,58292998144.0,49391001600.0,2019-03-18 to 2019-03-22,48.58,10794375168.0,ORCL,31750000000.0
13,Communication Services,0.16765,2019-01-18 13:40:22.320710,http://finance.yahoo.com/quote/T?p=T,0.03521,Telecom Services,34.36,5.15,TX,0.605653,185121996800.0,8700999680.0,2019-01-30,30.64,13211124736.0,T,83167000000.0
14,Technology,0.36894,2019-01-18 13:50:49.320423,http://finance.yahoo.com/quote/NVDA?p=NVDA,0.24391001,Semiconductors,228.7,7.483,CA,2.609198,1990000000.0,7591000064.0,2019-02-06 to 2019-02-11,151.72,1751500032.0,NVDA,5822000000.0
15,Consumer Cyclical,0.24964,2019-01-18 13:48:26.874373,http://finance.yahoo.com/quote/DIS?p=DIS,0.095410004,Media - Diversified,124.7,8.36,CA,0.672982,20874000384.0,4150000128.0,2019-02-05,111.01,7629875200.0,DIS,26708000000.0
16,Technology,0.32305,2018-12-17 00:18:07.315728,http://finance.yahoo.com/quote/ADBE?p=ADBE,0.11813,Software - Application,291.26,4.839,CA,1.023526,1884966016.0,4944470016.0,2019-03-14,230.0,2751425792.0,ADBE,6291014000.0
17,Technology,-0.12068,2019-01-18 13:45:36.550188,http://finance.yahoo.com/quote/FIT?p=FIT,-0.0797,Scientific & Technical Instruments,6.63,-1.024,CA,1.33622,0.0,623320000.0,2019-02-25 to 2019-03-01,6.11,54392248.0,FIT,690901000.0
18,Consumer Defensive,0.31244,2019-01-18 13:53:44.413007,http://finance.yahoo.com/quote/KO?p=KO,0.07113,Beverages - Soft Drinks,51.67,0.658,GA,0.417154,44905000960.0,18847000576.0,2019-02-14,47.06,3343000064.0,KO,22154000000.0
19,Industrials,-0.018609999,2019-01-18 13:52:03.558399,http://finance.yahoo.com/quote/GE?p=GE,-0.00415,Diversified Industrials,11.81,-3.648,MA,0.32416,114964996096.0,13482000384.0,2019-01-31,9.14,43547250688.0,GE,14874000000.0
20,Consumer Cyclical,0.10977,2019-01-18 13:47:36.848427,http://finance.yahoo.com/quote/NFLX?p=NFLX,0.050679997,Media - Diversified,380.95,2.802,CA,1.525429,8336586240.0,3067534080.0,2019-01-21 to 2019-01-25,353.19,8185674240.0,NFLX,4033047000.0
21,Industrials,0.15378,2019-01-18 13:45:13.315234,http://finance.yahoo.com/quote/CAT?p=CAT,0.06533,Farm & Construction Equipment,154.9,6.292,IL,1.54699,35776000000.0,7189000192.0,2019-01-28,134.54,2251375104.0,CAT,12035000000.0
22,Consumer Cyclical,0.124060005,2019-01-18 13:53:15.168466,http://finance.yahoo.com/quote/NKE?p=NKE,0.12641,Footwear & Accessories,86.55,1.318,OR,0.717436,3480999936.0,4040999936.0,2019-03-20 to 2019-03-25,79.13,3133750016.0,NKE,15956000000.0
23,Energy,0.08005,2019-01-18 13:46:34.664508,http://finance.yahoo.com/quote/CVX?p=CVX,0.029930001,Oil & Gas Integrated,138.16,7.428,CA,0.945858,36110000128.0,9745999872.0,2019-02-01,111.96,11690250240.0,CVX,39472000000.0
